MASTER-0:	Parameter Configuration:
MASTER-0:	activity = action
MASTER-0:	blocking = result
MASTER-0:	delta = 0
MASTER-0:	iterations = 1000
MASTER-0:	period = undefined
MASTER-0:	ratio = 1
MASTER-0:	parameter_size = 1000
MASTER-0:	workers = 1
MASTER-0:	master_activity = undefined
MASTER-0:	master_blocking = undefined
MASTER-0:	master_delta = undefined
MASTER-0:	warmup = 0
MASTER-0:	delay = 50
MASTER-0:	pp_delay = 5000
MASTER-0:	burst_timing = undefined
MASTER-0:	setup = true
MASTER-0:	teardown = true
MASTER-0:	config_file = /home/max/.wskprops
MASTER-0:	event_trigger = testTrigger
MASTER-0:	test_action = testAction
MASTER-0:	payload_file = undefined
MASTER-0:	quiet = undefined
MASTER-0:	master_apart = undefined
MASTER-0:	-----

MASTER-0:	Generating invocation parameters
MASTER-0:	Parameters: {
    "sleep": 50,
    "message": "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
}
MASTER-0:	Loading wskprops
MASTER-0:	APIHOST = https://192.168.5.13
MASTER-0:	AUTH = 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP
MASTER-0:	-----

MASTER-0:	SETUP: ./setup.sh s 1 testTrigger testAction --apihost https://192.168.5.13 --auth 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP -i
MASTER-0:	Start measurement.
MASTER-0:	Stop measurement. Start post-processing after 5000 msec
MASTER-0:	bi,	as,	ae,	ts,	ta,	oea,	oer,	d,	ad,	ai,	ora,	rtt,	ortt
MASTER-0:	1702899491534,	1702899492915,	1702899493318,	undefined,	undefined,	1381,	1734,	50,	403,	1702899493366,	48,	1832,	1782
MASTER-0:	1702899493366,	1702899493387,	1702899493439,	undefined,	undefined,	21,	23,	50,	52,	1702899493449,	10,	83,	33
MASTER-0:	1702899493449,	1702899493465,	1702899493517,	undefined,	undefined,	16,	18,	50,	52,	1702899493527,	10,	78,	28
MASTER-0:	1702899493527,	1702899493542,	1702899493595,	undefined,	undefined,	15,	18,	50,	53,	1702899493603,	8,	76,	26
MASTER-0:	1702899493603,	1702899493619,	1702899493672,	undefined,	undefined,	16,	19,	50,	53,	1702899493681,	9,	78,	28
MASTER-0:	1702899493681,	1702899493697,	1702899493749,	undefined,	undefined,	16,	18,	50,	52,	1702899493759,	10,	78,	28
MASTER-0:	1702899493759,	1702899493775,	1702899493828,	undefined,	undefined,	16,	19,	50,	53,	1702899493837,	9,	78,	28
MASTER-0:	1702899493838,	1702899493854,	1702899493906,	undefined,	undefined,	16,	18,	50,	52,	1702899493916,	10,	78,	28
MASTER-0:	1702899493916,	1702899493932,	1702899493984,	undefined,	undefined,	16,	18,	50,	52,	1702899493993,	9,	77,	27
MASTER-0:	1702899493993,	1702899494010,	1702899494062,	undefined,	undefined,	17,	19,	50,	52,	1702899494070,	8,	77,	27
MASTER-0:	1702899494070,	1702899494090,	1702899494142,	undefined,	undefined,	20,	22,	50,	52,	1702899494151,	9,	81,	31
MASTER-0:	1702899494151,	1702899494166,	1702899494218,	undefined,	undefined,	15,	17,	50,	52,	1702899494226,	8,	75,	25
MASTER-0:	1702899494226,	1702899494241,	1702899494295,	undefined,	undefined,	15,	19,	50,	54,	1702899494304,	9,	78,	28
MASTER-0:	1702899494304,	1702899494319,	1702899494372,	undefined,	undefined,	15,	18,	50,	53,	1702899494380,	8,	76,	26
MASTER-0:	1702899494380,	1702899494395,	1702899494447,	undefined,	undefined,	15,	17,	50,	52,	1702899494455,	8,	75,	25
MASTER-0:	1702899494455,	1702899494470,	1702899494522,	undefined,	undefined,	15,	17,	50,	52,	1702899494531,	9,	76,	26
MASTER-0:	1702899494531,	1702899494547,	1702899494599,	undefined,	undefined,	16,	18,	50,	52,	1702899494608,	9,	77,	27
MASTER-0:	1702899494608,	1702899494624,	1702899494676,	undefined,	undefined,	16,	18,	50,	52,	1702899494684,	8,	76,	26
MASTER-0:	1702899494684,	1702899494699,	1702899494752,	undefined,	undefined,	15,	18,	50,	53,	1702899494760,	8,	76,	26
MASTER-0:	1702899494760,	1702899494774,	1702899494826,	undefined,	undefined,	14,	16,	50,	52,	1702899494833,	7,	73,	23
MASTER-0:	1702899494833,	1702899494845,	1702899494897,	undefined,	undefined,	12,	14,	50,	52,	1702899494903,	6,	70,	20
MASTER-0:	1702899494903,	1702899494916,	1702899494969,	undefined,	undefined,	13,	16,	50,	53,	1702899494976,	7,	73,	23
MASTER-0:	1702899494976,	1702899494988,	1702899495040,	undefined,	undefined,	12,	14,	50,	52,	1702899495046,	6,	70,	20
MASTER-0:	1702899495047,	1702899495059,	1702899495111,	undefined,	undefined,	12,	14,	50,	52,	1702899495120,	9,	73,	23
MASTER-0:	1702899495120,	1702899495133,	1702899495186,	undefined,	undefined,	13,	16,	50,	53,	1702899495194,	8,	74,	24
MASTER-0:	1702899495194,	1702899495206,	1702899495259,	undefined,	undefined,	12,	15,	50,	53,	1702899495265,	6,	71,	21
MASTER-0:	1702899495265,	1702899495278,	1702899495330,	undefined,	undefined,	13,	15,	50,	52,	1702899495339,	9,	74,	24
MASTER-0:	1702899495339,	1702899495353,	1702899495405,	undefined,	undefined,	14,	16,	50,	52,	1702899495412,	7,	73,	23
MASTER-0:	1702899495412,	1702899495425,	1702899495477,	undefined,	undefined,	13,	15,	50,	52,	1702899495483,	6,	71,	21
MASTER-0:	1702899495483,	1702899495495,	1702899495547,	undefined,	undefined,	12,	14,	50,	52,	1702899495554,	7,	71,	21
MASTER-0:	1702899495554,	1702899495565,	1702899495617,	undefined,	undefined,	11,	13,	50,	52,	1702899495624,	7,	70,	20
MASTER-0:	1702899495624,	1702899495638,	1702899495689,	undefined,	undefined,	14,	15,	50,	51,	1702899495696,	7,	72,	22
MASTER-0:	1702899495696,	1702899495708,	1702899495760,	undefined,	undefined,	12,	14,	50,	52,	1702899495768,	8,	72,	22
MASTER-0:	1702899495768,	1702899495782,	1702899495834,	undefined,	undefined,	14,	16,	50,	52,	1702899495842,	8,	74,	24
MASTER-0:	1702899495842,	1702899495855,	1702899495907,	undefined,	undefined,	13,	15,	50,	52,	1702899495915,	8,	73,	23
