MASTER-0:	Parameter Configuration:
MASTER-0:	activity = action
MASTER-0:	blocking = result
MASTER-0:	delta = 0
MASTER-0:	iterations = 1000
MASTER-0:	period = undefined
MASTER-0:	ratio = 1
MASTER-0:	parameter_size = 1000
MASTER-0:	workers = 2
MASTER-0:	master_activity = undefined
MASTER-0:	master_blocking = undefined
MASTER-0:	master_delta = undefined
MASTER-0:	warmup = 0
MASTER-0:	delay = 50
MASTER-0:	pp_delay = 5000
MASTER-0:	burst_timing = undefined
MASTER-0:	setup = true
MASTER-0:	teardown = true
MASTER-0:	config_file = /home/max/.wskprops
MASTER-0:	event_trigger = testTrigger
MASTER-0:	test_action = testAction
MASTER-0:	payload_file = undefined
MASTER-0:	quiet = undefined
MASTER-0:	master_apart = undefined
MASTER-0:	-----

MASTER-0:	Generating invocation parameters
MASTER-0:	Parameters: {
    "sleep": 50,
    "message": "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
}
MASTER-0:	Loading wskprops
MASTER-0:	APIHOST = https://192.168.5.13
MASTER-0:	AUTH = 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP
MASTER-0:	-----

MASTER-0:	SETUP: ./setup.sh s 1 testTrigger testAction --apihost https://192.168.5.13 --auth 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP -i
MASTER-0:	Start measurement.
WORKER-1:	Start measurement.
MASTER-0:	Stop measurement. Start post-processing after 5000 msec
MASTER-0:	bi,	as,	ae,	ts,	ta,	oea,	oer,	d,	ad,	ai,	ora,	rtt,	ortt
MASTER-0:	1702899573335,	1702899573446,	1702899573497,	undefined,	undefined,	111,	112,	50,	51,	1702899573509,	12,	174,	124
MASTER-0:	1702899573509,	1702899573523,	1702899573576,	undefined,	undefined,	14,	17,	50,	53,	1702899573583,	7,	74,	24
MASTER-0:	1702899573583,	1702899573594,	1702899573645,	undefined,	undefined,	11,	12,	50,	51,	1702899573650,	5,	67,	17
MASTER-0:	1702899573650,	1702899573659,	1702899573710,	undefined,	undefined,	9,	10,	50,	51,	1702899573714,	4,	64,	14
MASTER-0:	1702899573714,	1702899573723,	1702899573774,	undefined,	undefined,	9,	10,	50,	51,	1702899573779,	5,	65,	15
MASTER-0:	1702899573779,	1702899573787,	1702899573838,	undefined,	undefined,	8,	9,	50,	51,	1702899573842,	4,	63,	13
MASTER-0:	1702899573842,	1702899573850,	1702899573901,	undefined,	undefined,	8,	9,	50,	51,	1702899573905,	4,	63,	13
MASTER-0:	1702899573905,	1702899573913,	1702899573964,	undefined,	undefined,	8,	9,	50,	51,	1702899573968,	4,	63,	13
MASTER-0:	1702899573968,	1702899573978,	1702899574029,	undefined,	undefined,	10,	11,	50,	51,	1702899574032,	3,	64,	14
MASTER-0:	1702899574032,	1702899574042,	1702899574093,	undefined,	undefined,	10,	11,	50,	51,	1702899574096,	3,	64,	14
MASTER-0:	1702899574096,	1702899574104,	1702899574156,	undefined,	undefined,	8,	10,	50,	52,	1702899574160,	4,	64,	14
MASTER-0:	1702899574160,	1702899574168,	1702899574219,	undefined,	undefined,	8,	9,	50,	51,	1702899574223,	4,	63,	13
MASTER-0:	1702899574223,	1702899574231,	1702899574281,	undefined,	undefined,	8,	8,	50,	50,	1702899574286,	5,	63,	13
MASTER-0:	1702899574286,	1702899574295,	1702899574346,	undefined,	undefined,	9,	10,	50,	51,	1702899574349,	3,	63,	13
MASTER-0:	1702899574349,	1702899574357,	1702899574408,	undefined,	undefined,	8,	9,	50,	51,	1702899574412,	4,	63,	13
MASTER-0:	1702899574412,	1702899574419,	1702899574470,	undefined,	undefined,	7,	8,	50,	51,	1702899574475,	5,	63,	13
MASTER-0:	1702899574475,	1702899574482,	1702899574533,	undefined,	undefined,	7,	8,	50,	51,	1702899574538,	5,	63,	13
MASTER-0:	1702899574538,	1702899574544,	1702899574595,	undefined,	undefined,	6,	7,	50,	51,	1702899574599,	4,	61,	11
MASTER-0:	1702899574599,	1702899574607,	1702899574658,	undefined,	undefined,	8,	9,	50,	51,	1702899574661,	3,	62,	12
MASTER-0:	1702899574661,	1702899574669,	1702899574720,	undefined,	undefined,	8,	9,	50,	51,	1702899574724,	4,	63,	13
MASTER-0:	1702899574724,	1702899574733,	1702899574784,	undefined,	undefined,	9,	10,	50,	51,	1702899574788,	4,	64,	14
MASTER-0:	1702899574788,	1702899574795,	1702899574846,	undefined,	undefined,	7,	8,	50,	51,	1702899574849,	3,	61,	11
MASTER-0:	1702899574849,	1702899574856,	1702899574907,	undefined,	undefined,	7,	8,	50,	51,	1702899574911,	4,	62,	12
MASTER-0:	1702899574911,	1702899574918,	1702899574968,	undefined,	undefined,	7,	7,	50,	50,	1702899574972,	4,	61,	11
MASTER-0:	1702899574972,	1702899574980,	1702899575031,	undefined,	undefined,	8,	9,	50,	51,	1702899575035,	4,	63,	13
MASTER-0:	1702899575035,	1702899575043,	1702899575094,	undefined,	undefined,	8,	9,	50,	51,	1702899575097,	3,	62,	12
MASTER-0:	1702899575097,	1702899575106,	1702899575156,	undefined,	undefined,	9,	9,	50,	50,	1702899575159,	3,	62,	12
MASTER-0:	1702899575159,	1702899575166,	1702899575216,	undefined,	undefined,	7,	7,	50,	50,	1702899575220,	4,	61,	11
