MASTER-0:	Parameter Configuration:
MASTER-0:	activity = action
MASTER-0:	blocking = result
MASTER-0:	delta = 0
MASTER-0:	iterations = 1000
MASTER-0:	period = undefined
MASTER-0:	ratio = 1
MASTER-0:	parameter_size = 1000
MASTER-0:	workers = 3
MASTER-0:	master_activity = undefined
MASTER-0:	master_blocking = undefined
MASTER-0:	master_delta = undefined
MASTER-0:	warmup = 0
MASTER-0:	delay = 50
MASTER-0:	pp_delay = 5000
MASTER-0:	burst_timing = undefined
MASTER-0:	setup = true
MASTER-0:	teardown = true
MASTER-0:	config_file = /home/max/.wskprops
MASTER-0:	event_trigger = testTrigger
MASTER-0:	test_action = testAction
MASTER-0:	payload_file = undefined
MASTER-0:	quiet = undefined
MASTER-0:	master_apart = undefined
MASTER-0:	-----

MASTER-0:	Generating invocation parameters
MASTER-0:	Parameters: {
    "sleep": 50,
    "message": "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
}
MASTER-0:	Loading wskprops
MASTER-0:	APIHOST = https://192.168.5.13
MASTER-0:	AUTH = 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP
MASTER-0:	-----

MASTER-0:	SETUP: ./setup.sh s 1 testTrigger testAction --apihost https://192.168.5.13 --auth 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP -i
MASTER-0:	Start measurement.
WORKER-1:	Start measurement.
WORKER-2:	Start measurement.
MASTER-0:	Stop measurement. Start post-processing after 5000 msec
MASTER-0:	bi,	as,	ae,	ts,	ta,	oea,	oer,	d,	ad,	ai,	ora,	rtt,	ortt
MASTER-0:	1702899649247,	1702899649353,	1702899649404,	undefined,	undefined,	106,	107,	50,	51,	1702899649413,	9,	166,	116
WORKER-1:	1702899649303,	1702899649401,	1702899649452,	undefined,	undefined,	98,	99,	50,	51,	1702899649461,	9,	158,	108
WORKER-1:	1702899649462,	1702899649470,	1702899649521,	undefined,	undefined,	8,	9,	50,	51,	1702899649525,	4,	63,	13
MASTER-0:	1702899649413,	1702899649453,	1702899649504,	undefined,	undefined,	40,	41,	50,	51,	1702899649509,	5,	96,	46
WORKER-1:	1702899649525,	1702899649558,	1702899649609,	undefined,	undefined,	33,	34,	50,	51,	1702899649613,	4,	88,	38
MASTER-0:	1702899649509,	1702899649522,	1702899649573,	undefined,	undefined,	13,	14,	50,	51,	1702899649577,	4,	68,	18
WORKER-1:	1702899649613,	1702899649625,	1702899649676,	undefined,	undefined,	12,	13,	50,	51,	1702899649681,	5,	68,	18
MASTER-0:	1702899649577,	1702899649610,	1702899649661,	undefined,	undefined,	33,	34,	50,	51,	1702899649666,	5,	89,	39
WORKER-1:	1702899649681,	1702899649716,	1702899649767,	undefined,	undefined,	35,	36,	50,	51,	1702899649771,	4,	90,	40
WORKER-2:	1702899649306,	1702899649405,	1702899649456,	undefined,	undefined,	99,	100,	50,	51,	1702899649465,	9,	159,	109
MASTER-0:	1702899649666,	1702899649678,	1702899649729,	undefined,	undefined,	12,	13,	50,	51,	1702899649733,	4,	67,	17
WORKER-1:	1702899649771,	1702899649783,	1702899649834,	undefined,	undefined,	12,	13,	50,	51,	1702899649837,	3,	66,	16
WORKER-2:	1702899649465,	1702899649505,	1702899649557,	undefined,	undefined,	40,	42,	50,	52,	1702899649561,	4,	96,	46
MASTER-0:	1702899649733,	1702899649768,	1702899649818,	undefined,	undefined,	35,	35,	50,	50,	1702899649822,	4,	89,	39
WORKER-1:	1702899649837,	1702899649872,	1702899649923,	undefined,	undefined,	35,	36,	50,	51,	1702899649927,	4,	90,	40
WORKER-2:	1702899649561,	1702899649574,	1702899649624,	undefined,	undefined,	13,	13,	50,	50,	1702899649628,	4,	67,	17
MASTER-0:	1702899649822,	1702899649835,	1702899649886,	undefined,	undefined,	13,	14,	50,	51,	1702899649890,	4,	68,	18
WORKER-1:	1702899649927,	1702899649939,	1702899649990,	undefined,	undefined,	12,	13,	50,	51,	1702899649994,	4,	67,	17
MASTER-0:	1702899649890,	1702899649924,	1702899649979,	undefined,	undefined,	34,	39,	50,	55,	1702899649982,	3,	92,	42
WORKER-2:	1702899649628,	1702899649663,	1702899649714,	undefined,	undefined,	35,	36,	50,	51,	1702899649718,	4,	90,	40
WORKER-1:	1702899649994,	1702899650031,	1702899650082,	undefined,	undefined,	37,	38,	50,	51,	1702899650086,	4,	92,	42
MASTER-0:	1702899649982,	1702899649992,	1702899650042,	undefined,	undefined,	10,	10,	50,	50,	1702899650045,	3,	63,	13
WORKER-2:	1702899649718,	1702899649731,	1702899649782,	undefined,	undefined,	13,	14,	50,	51,	1702899649786,	4,	68,	18
WORKER-1:	1702899650086,	1702899650096,	1702899650146,	undefined,	undefined,	10,	10,	50,	50,	1702899650149,	3,	63,	13
MASTER-0:	1702899650045,	1702899650084,	1702899650135,	undefined,	undefined,	39,	40,	50,	51,	1702899650138,	3,	93,	43
WORKER-2:	1702899649786,	1702899649819,	1702899649871,	undefined,	undefined,	33,	35,	50,	52,	1702899649875,	4,	89,	39
WORKER-1:	1702899650149,	1702899650188,	1702899650239,	undefined,	undefined,	39,	40,	50,	51,	1702899650243,	4,	94,	44
MASTER-0:	1702899650138,	1702899650147,	1702899650198,	undefined,	undefined,	9,	10,	50,	51,	1702899650201,	3,	63,	13
