MASTER-0:	Parameter Configuration:
MASTER-0:	activity = action
MASTER-0:	blocking = result
MASTER-0:	delta = 0
MASTER-0:	iterations = 1000
MASTER-0:	period = undefined
MASTER-0:	ratio = 1
MASTER-0:	parameter_size = 1000
MASTER-0:	workers = 4
MASTER-0:	master_activity = undefined
MASTER-0:	master_blocking = undefined
MASTER-0:	master_delta = undefined
MASTER-0:	warmup = 0
MASTER-0:	delay = 50
MASTER-0:	pp_delay = 5000
MASTER-0:	burst_timing = undefined
MASTER-0:	setup = true
MASTER-0:	teardown = true
MASTER-0:	config_file = /home/max/.wskprops
MASTER-0:	event_trigger = testTrigger
MASTER-0:	test_action = testAction
MASTER-0:	payload_file = undefined
MASTER-0:	quiet = undefined
MASTER-0:	master_apart = undefined
MASTER-0:	-----

MASTER-0:	Generating invocation parameters
MASTER-0:	Parameters: {
    "sleep": 50,
    "message": "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
}
MASTER-0:	Loading wskprops
MASTER-0:	APIHOST = https://192.168.5.13
MASTER-0:	AUTH = 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP
MASTER-0:	-----

MASTER-0:	SETUP: ./setup.sh s 1 testTrigger testAction --apihost https://192.168.5.13 --auth 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP -i
MASTER-0:	Start measurement.
WORKER-1:	Start measurement.
WORKER-2:	Start measurement.
WORKER-3:	Start measurement.
MASTER-0:	Stop measurement. Start post-processing after 5000 msec
MASTER-0:	bi,	as,	ae,	ts,	ta,	oea,	oer,	d,	ad,	ai,	ora,	rtt,	ortt
MASTER-0:	1702899741145,	1702899741250,	1702899741301,	undefined,	undefined,	105,	106,	50,	51,	1702899741310,	9,	165,	115
MASTER-0:	1702899741310,	1702899741354,	1702899741405,	undefined,	undefined,	44,	45,	50,	51,	1702899741409,	4,	99,	49
MASTER-0:	1702899741409,	1702899741455,	1702899741506,	undefined,	undefined,	46,	47,	50,	51,	1702899741510,	4,	101,	51
MASTER-0:	1702899741510,	1702899741559,	1702899741610,	undefined,	undefined,	49,	50,	50,	51,	1702899741614,	4,	104,	54
MASTER-0:	1702899741614,	1702899741663,	1702899741714,	undefined,	undefined,	49,	50,	50,	51,	1702899741718,	4,	104,	54
WORKER-2:	1702899741200,	1702899741303,	1702899741353,	undefined,	undefined,	103,	103,	50,	50,	1702899741362,	9,	162,	112
WORKER-1:	1702899741199,	1702899741297,	1702899741348,	undefined,	undefined,	98,	99,	50,	51,	1702899741358,	10,	159,	109
MASTER-0:	1702899741718,	1702899741768,	1702899741819,	undefined,	undefined,	50,	51,	50,	51,	1702899741823,	4,	105,	55
WORKER-2:	1702899741363,	1702899741407,	1702899741457,	undefined,	undefined,	44,	44,	50,	50,	1702899741461,	4,	98,	48
MASTER-0:	1702899741823,	1702899741873,	1702899741924,	undefined,	undefined,	50,	51,	50,	51,	1702899741928,	4,	105,	55
WORKER-1:	1702899741358,	1702899741402,	1702899741453,	undefined,	undefined,	44,	45,	50,	51,	1702899741459,	6,	101,	51
WORKER-2:	1702899741461,	1702899741510,	1702899741561,	undefined,	undefined,	49,	50,	50,	51,	1702899741564,	3,	103,	53
MASTER-0:	1702899741928,	1702899741978,	1702899742028,	undefined,	undefined,	50,	50,	50,	50,	1702899742032,	4,	104,	54
WORKER-1:	1702899741459,	1702899741507,	1702899741558,	undefined,	undefined,	48,	49,	50,	51,	1702899741562,	4,	103,	53
WORKER-2:	1702899741564,	1702899741613,	1702899741664,	undefined,	undefined,	49,	50,	50,	51,	1702899741667,	3,	103,	53
MASTER-0:	1702899742032,	1702899742088,	1702899742138,	undefined,	undefined,	56,	56,	50,	50,	1702899742143,	5,	111,	61
WORKER-1:	1702899741562,	1702899741611,	1702899741662,	undefined,	undefined,	49,	50,	50,	51,	1702899741665,	3,	103,	53
WORKER-2:	1702899741667,	1702899741717,	1702899741768,	undefined,	undefined,	50,	51,	50,	51,	1702899741772,	4,	105,	55
MASTER-0:	1702899742143,	1702899742193,	1702899742243,	undefined,	undefined,	50,	50,	50,	50,	1702899742247,	4,	104,	54
WORKER-1:	1702899741665,	1702899741715,	1702899741767,	undefined,	undefined,	50,	52,	50,	52,	1702899741771,	4,	106,	56
WORKER-2:	1702899741772,	1702899741821,	1702899741872,	undefined,	undefined,	49,	50,	50,	51,	1702899741876,	4,	104,	54
MASTER-0:	1702899742247,	1702899742298,	1702899742349,	undefined,	undefined,	51,	52,	50,	51,	1702899742352,	3,	105,	55
WORKER-1:	1702899741771,	1702899741820,	1702899741872,	undefined,	undefined,	49,	51,	50,	52,	1702899741875,	3,	104,	54
WORKER-2:	1702899741876,	1702899741925,	1702899741976,	undefined,	undefined,	49,	50,	50,	51,	1702899741980,	4,	104,	54
MASTER-0:	1702899742352,	1702899742403,	1702899742454,	undefined,	undefined,	51,	52,	50,	51,	1702899742457,	3,	105,	55
WORKER-1:	1702899741875,	1702899741925,	1702899741976,	undefined,	undefined,	50,	51,	50,	51,	1702899741979,	3,	104,	54
MASTER-0:	1702899742457,	1702899742509,	1702899742559,	undefined,	undefined,	52,	52,	50,	50,	1702899742563,	4,	106,	56
WORKER-3:	1702899741203,	1702899741350,	1702899741401,	undefined,	undefined,	147,	148,	50,	51,	1702899741410,	9,	207,	157
