MASTER-0:	Parameter Configuration:
MASTER-0:	activity = action
MASTER-0:	blocking = result
MASTER-0:	delta = 0
MASTER-0:	iterations = 1000
MASTER-0:	period = undefined
MASTER-0:	ratio = 1
MASTER-0:	parameter_size = 1000
MASTER-0:	workers = 8
MASTER-0:	master_activity = undefined
MASTER-0:	master_blocking = undefined
MASTER-0:	master_delta = undefined
MASTER-0:	warmup = 0
MASTER-0:	delay = 50
MASTER-0:	pp_delay = 5000
MASTER-0:	burst_timing = undefined
MASTER-0:	setup = true
MASTER-0:	teardown = true
MASTER-0:	config_file = /home/max/.wskprops
MASTER-0:	event_trigger = testTrigger
MASTER-0:	test_action = testAction
MASTER-0:	payload_file = undefined
MASTER-0:	quiet = undefined
MASTER-0:	master_apart = undefined
MASTER-0:	-----

MASTER-0:	Generating invocation parameters
MASTER-0:	Parameters: {
    "sleep": 50,
    "message": "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
}
MASTER-0:	Loading wskprops
MASTER-0:	APIHOST = https://192.168.5.13
MASTER-0:	AUTH = 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP
MASTER-0:	-----

MASTER-0:	SETUP: ./setup.sh s 1 testTrigger testAction --apihost https://192.168.5.13 --auth 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP -i
MASTER-0:	Start measurement.
WORKER-1:	Start measurement.
WORKER-2:	Start measurement.
WORKER-3:	Start measurement.
WORKER-5:	Start measurement.
WORKER-4:	Start measurement.
WORKER-6:	Start measurement.
WORKER-7:	Start measurement.
MASTER-0:	Stop measurement. Start post-processing after 5000 msec
MASTER-0:	bi,	as,	ae,	ts,	ta,	oea,	oer,	d,	ad,	ai,	ora,	rtt,	ortt
WORKER-1:	1702899860100,	1702899860199,	1702899860250,	undefined,	undefined,	99,	100,	50,	51,	1702899860260,	10,	160,	110
WORKER-1:	1702899860260,	1702899860412,	1702899860463,	undefined,	undefined,	152,	153,	50,	51,	1702899860467,	4,	207,	157
WORKER-1:	1702899860467,	1702899860625,	1702899860676,	undefined,	undefined,	158,	159,	50,	51,	1702899860680,	4,	213,	163
WORKER-1:	1702899860680,	1702899860836,	1702899860888,	undefined,	undefined,	156,	158,	50,	52,	1702899860892,	4,	212,	162
WORKER-1:	1702899860892,	1702899861048,	1702899861099,	undefined,	undefined,	156,	157,	50,	51,	1702899861104,	5,	212,	162
WORKER-1:	1702899861104,	1702899861260,	1702899861311,	undefined,	undefined,	156,	157,	50,	51,	1702899861315,	4,	211,	161
WORKER-1:	1702899861315,	1702899861473,	1702899861524,	undefined,	undefined,	158,	159,	50,	51,	1702899861527,	3,	212,	162
WORKER-1:	1702899861527,	1702899861685,	1702899861736,	undefined,	undefined,	158,	159,	50,	51,	1702899861741,	5,	214,	164
WORKER-1:	1702899861741,	1702899861897,	1702899861947,	undefined,	undefined,	156,	156,	50,	50,	1702899861951,	4,	210,	160
WORKER-1:	1702899861951,	1702899862107,	1702899862161,	undefined,	undefined,	156,	160,	50,	54,	1702899862165,	4,	214,	164
WORKER-1:	1702899862165,	1702899862322,	1702899862373,	undefined,	undefined,	157,	158,	50,	51,	1702899862377,	4,	212,	162
WORKER-1:	1702899862377,	1702899862531,	1702899862582,	undefined,	undefined,	154,	155,	50,	51,	1702899862586,	4,	209,	159
WORKER-1:	1702899862586,	1702899862742,	1702899862794,	undefined,	undefined,	156,	158,	50,	52,	1702899862798,	4,	212,	162
WORKER-1:	1702899862798,	1702899862953,	1702899863004,	undefined,	undefined,	155,	156,	50,	51,	1702899863007,	3,	209,	159
WORKER-1:	1702899863007,	1702899863163,	1702899863214,	undefined,	undefined,	156,	157,	50,	51,	1702899863218,	4,	211,	161
WORKER-1:	1702899863218,	1702899863374,	1702899863425,	undefined,	undefined,	156,	157,	50,	51,	1702899863429,	4,	211,	161
WORKER-1:	1702899863429,	1702899863586,	1702899863637,	undefined,	undefined,	157,	158,	50,	51,	1702899863640,	3,	211,	161
WORKER-1:	1702899863640,	1702899863797,	1702899863848,	undefined,	undefined,	157,	158,	50,	51,	1702899863852,	4,	212,	162
WORKER-1:	1702899863852,	1702899864012,	1702899864063,	undefined,	undefined,	160,	161,	50,	51,	1702899864066,	3,	214,	164
WORKER-1:	1702899864066,	1702899864223,	1702899864274,	undefined,	undefined,	157,	158,	50,	51,	1702899864278,	4,	212,	162
WORKER-1:	1702899864278,	1702899864433,	1702899864485,	undefined,	undefined,	155,	157,	50,	52,	1702899864488,	3,	210,	160
WORKER-1:	1702899864488,	1702899864645,	1702899864696,	undefined,	undefined,	157,	158,	50,	51,	1702899864700,	4,	212,	162
WORKER-1:	1702899864700,	1702899864858,	1702899864909,	undefined,	undefined,	158,	159,	50,	51,	1702899864912,	3,	212,	162
WORKER-1:	1702899864912,	1702899865067,	1702899865118,	undefined,	undefined,	155,	156,	50,	51,	1702899865122,	4,	210,	160
WORKER-1:	1702899865122,	1702899865278,	1702899865328,	undefined,	undefined,	156,	156,	50,	50,	1702899865332,	4,	210,	160
WORKER-1:	1702899865332,	1702899865488,	1702899865539,	undefined,	undefined,	156,	157,	50,	51,	1702899865542,	3,	210,	160
WORKER-1:	1702899865542,	1702899865699,	1702899865750,	undefined,	undefined,	157,	158,	50,	51,	1702899865753,	3,	211,	161
WORKER-1:	1702899865753,	1702899865910,	1702899865961,	undefined,	undefined,	157,	158,	50,	51,	1702899865965,	4,	212,	162
WORKER-1:	1702899865965,	1702899866121,	1702899866172,	undefined,	undefined,	156,	157,	50,	51,	1702899866176,	4,	211,	161
