MASTER-0:	Parameter Configuration:
MASTER-0:	activity = action
MASTER-0:	blocking = result
MASTER-0:	delta = 0
MASTER-0:	iterations = 1000
MASTER-0:	period = undefined
MASTER-0:	ratio = 1
MASTER-0:	parameter_size = 1000
MASTER-0:	workers = 1
MASTER-0:	master_activity = undefined
MASTER-0:	master_blocking = undefined
MASTER-0:	master_delta = undefined
MASTER-0:	warmup = 0
MASTER-0:	delay = 50
MASTER-0:	pp_delay = 20000
MASTER-0:	burst_timing = undefined
MASTER-0:	setup = true
MASTER-0:	teardown = true
MASTER-0:	config_file = /home/max/.wskprops
MASTER-0:	event_trigger = testTrigger
MASTER-0:	test_action = testAction
MASTER-0:	payload_file = undefined
MASTER-0:	quiet = undefined
MASTER-0:	master_apart = undefined
MASTER-0:	-----

MASTER-0:	Generating invocation parameters
MASTER-0:	Parameters: {
    "sleep": 50,
    "message": "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
}
MASTER-0:	Loading wskprops
MASTER-0:	APIHOST = https://192.168.5.13
MASTER-0:	AUTH = 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP
MASTER-0:	-----

MASTER-0:	SETUP: ./setup.sh s 1 testTrigger testAction --apihost https://192.168.5.13 --auth 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP -i
MASTER-0:	Start measurement.
MASTER-0:	Stop measurement. Start post-processing after 20000 msec
MASTER-0:	bi,	as,	ae,	ts,	ta,	oea,	oer,	d,	ad,	ai,	ora,	rtt,	ortt
MASTER-0:	1697038309101,	1697038309296,	1697038309350,	undefined,	undefined,	195,	199,	50,	54,	1697038309376,	26,	275,	225
MASTER-0:	1697038309377,	1697038309402,	1697038309456,	undefined,	undefined,	25,	29,	50,	54,	1697038309469,	13,	92,	42
MASTER-0:	1697038309469,	1697038309494,	1697038309548,	undefined,	undefined,	25,	28,	51,	54,	1697038309560,	12,	91,	40
MASTER-0:	1697038309560,	1697038309585,	1697038309639,	undefined,	undefined,	25,	29,	50,	54,	1697038309650,	11,	90,	40
MASTER-0:	1697038309650,	1697038309675,	1697038309728,	undefined,	undefined,	25,	28,	50,	53,	1697038309740,	12,	90,	40
MASTER-0:	1697038309740,	1697038309765,	1697038309818,	undefined,	undefined,	25,	28,	50,	53,	1697038309830,	12,	90,	40
MASTER-0:	1697038309830,	1697038309854,	1697038309908,	undefined,	undefined,	24,	28,	50,	54,	1697038309919,	11,	89,	39
MASTER-0:	1697038309919,	1697038309944,	1697038309997,	undefined,	undefined,	25,	28,	50,	53,	1697038310008,	11,	89,	39
MASTER-0:	1697038310008,	1697038310034,	1697038310087,	undefined,	undefined,	26,	29,	50,	53,	1697038310098,	11,	90,	40
MASTER-0:	1697038310098,	1697038310127,	1697038310180,	undefined,	undefined,	29,	32,	50,	53,	1697038310200,	20,	102,	52
MASTER-0:	1697038310200,	1697038310225,	1697038310278,	undefined,	undefined,	25,	28,	50,	53,	1697038310289,	11,	89,	39
MASTER-0:	1697038310289,	1697038310314,	1697038310367,	undefined,	undefined,	25,	28,	50,	53,	1697038310377,	10,	88,	38
MASTER-0:	1697038310377,	1697038310403,	1697038310456,	undefined,	undefined,	26,	28,	51,	53,	1697038310467,	11,	90,	39
MASTER-0:	1697038310467,	1697038310493,	1697038310546,	undefined,	undefined,	26,	28,	51,	53,	1697038310557,	11,	90,	39
MASTER-0:	1697038310557,	1697038310582,	1697038310635,	undefined,	undefined,	25,	27,	51,	53,	1697038310646,	11,	89,	38
MASTER-0:	1697038310646,	1697038310672,	1697038310725,	undefined,	undefined,	26,	28,	51,	53,	1697038310735,	10,	89,	38
MASTER-0:	1697038310735,	1697038310759,	1697038310812,	undefined,	undefined,	24,	27,	50,	53,	1697038310823,	11,	88,	38
MASTER-0:	1697038310823,	1697038310847,	1697038310900,	undefined,	undefined,	24,	27,	50,	53,	1697038310911,	11,	88,	38
MASTER-0:	1697038310911,	1697038310934,	1697038310989,	undefined,	undefined,	23,	28,	50,	55,	1697038311000,	11,	89,	39
MASTER-0:	1697038311000,	1697038311026,	1697038311079,	undefined,	undefined,	26,	29,	50,	53,	1697038311090,	11,	90,	40
MASTER-0:	1697038311090,	1697038311113,	1697038311167,	undefined,	undefined,	23,	27,	50,	54,	1697038311177,	10,	87,	37
MASTER-0:	1697038311177,	1697038311200,	1697038311254,	undefined,	undefined,	23,	27,	50,	54,	1697038311264,	10,	87,	37
MASTER-0:	1697038311264,	1697038311287,	1697038311340,	undefined,	undefined,	23,	26,	50,	53,	1697038311350,	10,	86,	36
MASTER-0:	1697038311350,	1697038311374,	1697038311427,	undefined,	undefined,	24,	26,	51,	53,	1697038311437,	10,	87,	36
MASTER-0:	1697038311437,	1697038311461,	1697038311514,	undefined,	undefined,	24,	26,	51,	53,	1697038311524,	10,	87,	36
MASTER-0:	1697038311524,	1697038311547,	1697038311600,	undefined,	undefined,	23,	26,	50,	53,	1697038311610,	10,	86,	36
MASTER-0:	1697038311610,	1697038311633,	1697038311687,	undefined,	undefined,	23,	27,	50,	54,	1697038311697,	10,	87,	37
MASTER-0:	1697038311697,	1697038311720,	1697038311774,	undefined,	undefined,	23,	27,	50,	54,	1697038311783,	9,	86,	36
