MASTER-0:	Parameter Configuration:
MASTER-0:	activity = action
MASTER-0:	blocking = result
MASTER-0:	delta = 0
MASTER-0:	iterations = 1000
MASTER-0:	period = undefined
MASTER-0:	ratio = 1
MASTER-0:	parameter_size = 1000
MASTER-0:	workers = 2
MASTER-0:	master_activity = undefined
MASTER-0:	master_blocking = undefined
MASTER-0:	master_delta = undefined
MASTER-0:	warmup = 0
MASTER-0:	delay = 50
MASTER-0:	pp_delay = 20000
MASTER-0:	burst_timing = undefined
MASTER-0:	setup = true
MASTER-0:	teardown = true
MASTER-0:	config_file = /home/max/.wskprops
MASTER-0:	event_trigger = testTrigger
MASTER-0:	test_action = testAction
MASTER-0:	payload_file = undefined
MASTER-0:	quiet = undefined
MASTER-0:	master_apart = undefined
MASTER-0:	-----

MASTER-0:	Generating invocation parameters
MASTER-0:	Parameters: {
    "sleep": 50,
    "message": "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
}
MASTER-0:	Loading wskprops
MASTER-0:	APIHOST = https://192.168.5.13
MASTER-0:	AUTH = 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP
MASTER-0:	-----

MASTER-0:	SETUP: ./setup.sh s 1 testTrigger testAction --apihost https://192.168.5.13 --auth 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP -i
MASTER-0:	Start measurement.
WORKER-1:	Start measurement.
MASTER-0:	Stop measurement. Start post-processing after 20000 msec
MASTER-0:	bi,	as,	ae,	ts,	ta,	oea,	oer,	d,	ad,	ai,	ora,	rtt,	ortt
MASTER-0:	1697038697609,	1697038697820,	1697038697874,	undefined,	undefined,	211,	215,	50,	54,	1697038697901,	27,	292,	242
MASTER-0:	1697038697902,	1697038697929,	1697038697983,	undefined,	undefined,	27,	31,	50,	54,	1697038697999,	16,	97,	47
MASTER-0:	1697038697999,	1697038698030,	1697038698084,	undefined,	undefined,	31,	35,	50,	54,	1697038698098,	14,	99,	49
MASTER-0:	1697038698098,	1697038698126,	1697038698181,	undefined,	undefined,	28,	33,	50,	55,	1697038698193,	12,	95,	45
MASTER-0:	1697038698193,	1697038698230,	1697038698284,	undefined,	undefined,	37,	40,	51,	54,	1697038698297,	13,	104,	53
MASTER-0:	1697038698297,	1697038698324,	1697038698377,	undefined,	undefined,	27,	30,	50,	53,	1697038698389,	12,	92,	42
MASTER-0:	1697038698389,	1697038698414,	1697038698468,	undefined,	undefined,	25,	29,	50,	54,	1697038698480,	12,	91,	41
MASTER-0:	1697038698481,	1697038698507,	1697038698560,	undefined,	undefined,	26,	29,	50,	53,	1697038698571,	11,	90,	40
MASTER-0:	1697038698571,	1697038698600,	1697038698654,	undefined,	undefined,	29,	33,	50,	54,	1697038698665,	11,	94,	44
MASTER-0:	1697038698665,	1697038698691,	1697038698745,	undefined,	undefined,	26,	30,	50,	54,	1697038698756,	11,	91,	41
MASTER-0:	1697038698756,	1697038698782,	1697038698837,	undefined,	undefined,	26,	31,	50,	55,	1697038698849,	12,	93,	43
MASTER-0:	1697038698849,	1697038698873,	1697038698927,	undefined,	undefined,	24,	28,	50,	54,	1697038698938,	11,	89,	39
MASTER-0:	1697038698938,	1697038698964,	1697038699018,	undefined,	undefined,	26,	30,	50,	54,	1697038699029,	11,	91,	41
MASTER-0:	1697038699029,	1697038699055,	1697038699108,	undefined,	undefined,	26,	28,	51,	53,	1697038699119,	11,	90,	39
MASTER-0:	1697038699119,	1697038699144,	1697038699197,	undefined,	undefined,	25,	28,	50,	53,	1697038699207,	10,	88,	38
MASTER-0:	1697038699207,	1697038699233,	1697038699286,	undefined,	undefined,	26,	29,	50,	53,	1697038699297,	11,	90,	40
MASTER-0:	1697038699297,	1697038699321,	1697038699374,	undefined,	undefined,	24,	27,	50,	53,	1697038699385,	11,	88,	38
MASTER-0:	1697038699385,	1697038699409,	1697038699462,	undefined,	undefined,	24,	26,	51,	53,	1697038699473,	11,	88,	37
MASTER-0:	1697038699473,	1697038699497,	1697038699550,	undefined,	undefined,	24,	27,	50,	53,	1697038699561,	11,	88,	38
MASTER-0:	1697038699561,	1697038699585,	1697038699638,	undefined,	undefined,	24,	27,	50,	53,	1697038699649,	11,	88,	38
MASTER-0:	1697038699649,	1697038699674,	1697038699727,	undefined,	undefined,	25,	28,	50,	53,	1697038699740,	13,	91,	41
MASTER-0:	1697038699740,	1697038699765,	1697038699818,	undefined,	undefined,	25,	28,	50,	53,	1697038699828,	10,	88,	38
MASTER-0:	1697038699828,	1697038699851,	1697038699904,	undefined,	undefined,	23,	26,	50,	53,	1697038699914,	10,	86,	36
MASTER-0:	1697038699914,	1697038699938,	1697038699991,	undefined,	undefined,	24,	26,	51,	53,	1697038700001,	10,	87,	36
MASTER-0:	1697038700001,	1697038700025,	1697038700079,	undefined,	undefined,	24,	28,	50,	54,	1697038700090,	11,	89,	39
WORKER-1:	1697038697688,	1697038698443,	1697038698673,	undefined,	undefined,	755,	934,	51,	230,	1697038698701,	28,	1013,	962
MASTER-0:	1697038700090,	1697038700114,	1697038700167,	undefined,	undefined,	24,	27,	50,	53,	1697038700177,	10,	87,	37
WORKER-1:	1697038698701,	1697038698725,	1697038698779,	undefined,	undefined,	24,	27,	51,	54,	1697038698793,	14,	92,	41
MASTER-0:	1697038700177,	1697038700201,	1697038700254,	undefined,	undefined,	24,	27,	50,	53,	1697038700267,	13,	90,	40
WORKER-1:	1697038698793,	1697038698818,	1697038698873,	undefined,	undefined,	25,	30,	50,	55,	1697038698886,	13,	93,	43
MASTER-0:	1697038700267,	1697038700291,	1697038700344,	undefined,	undefined,	24,	27,	50,	53,	1697038700354,	10,	87,	37
WORKER-1:	1697038698886,	1697038698911,	1697038698965,	undefined,	undefined,	25,	28,	51,	54,	1697038698978,	13,	92,	41
MASTER-0:	1697038700354,	1697038700378,	1697038700431,	undefined,	undefined,	24,	26,	51,	53,	1697038700441,	10,	87,	36
WORKER-1:	1697038698978,	1697038699003,	1697038699057,	undefined,	undefined,	25,	28,	51,	54,	1697038699070,	13,	92,	41
MASTER-0:	1697038700441,	1697038700465,	1697038700525,	undefined,	undefined,	24,	33,	51,	60,	1697038700536,	11,	95,	44
WORKER-1:	1697038699070,	1697038699095,	1697038699149,	undefined,	undefined,	25,	28,	51,	54,	1697038699161,	12,	91,	40
