MASTER-0:	Parameter Configuration:
MASTER-0:	activity = action
MASTER-0:	blocking = result
MASTER-0:	delta = 0
MASTER-0:	iterations = 1000
MASTER-0:	period = undefined
MASTER-0:	ratio = 1
MASTER-0:	parameter_size = 1000
MASTER-0:	workers = 3
MASTER-0:	master_activity = undefined
MASTER-0:	master_blocking = undefined
MASTER-0:	master_delta = undefined
MASTER-0:	warmup = 0
MASTER-0:	delay = 50
MASTER-0:	pp_delay = 20000
MASTER-0:	burst_timing = undefined
MASTER-0:	setup = true
MASTER-0:	teardown = true
MASTER-0:	config_file = /home/max/.wskprops
MASTER-0:	event_trigger = testTrigger
MASTER-0:	test_action = testAction
MASTER-0:	payload_file = undefined
MASTER-0:	quiet = undefined
MASTER-0:	master_apart = undefined
MASTER-0:	-----

MASTER-0:	Generating invocation parameters
MASTER-0:	Parameters: {
    "sleep": 50,
    "message": "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
}
MASTER-0:	Loading wskprops
MASTER-0:	APIHOST = https://192.168.5.13
MASTER-0:	AUTH = 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP
MASTER-0:	-----

MASTER-0:	SETUP: ./setup.sh s 1 testTrigger testAction --apihost https://192.168.5.13 --auth 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP -i
MASTER-0:	Start measurement.
WORKER-1:	Start measurement.
WORKER-2:	Start measurement.
MASTER-0:	Stop measurement. Start post-processing after 20000 msec
MASTER-0:	bi,	as,	ae,	ts,	ta,	oea,	oer,	d,	ad,	ai,	ora,	rtt,	ortt
MASTER-0:	1697038834788,	1697038835018,	1697038835072,	undefined,	undefined,	230,	233,	51,	54,	1697038835100,	28,	312,	261
MASTER-0:	1697038835100,	1697038835127,	1697038835181,	undefined,	undefined,	27,	30,	51,	54,	1697038835196,	15,	96,	45
MASTER-0:	1697038835196,	1697038835221,	1697038835274,	undefined,	undefined,	25,	28,	50,	53,	1697038835287,	13,	91,	41
MASTER-0:	1697038835287,	1697038835312,	1697038835366,	undefined,	undefined,	25,	29,	50,	54,	1697038835378,	12,	91,	41
MASTER-0:	1697038835378,	1697038835405,	1697038835458,	undefined,	undefined,	27,	30,	50,	53,	1697038835470,	12,	92,	42
MASTER-0:	1697038835470,	1697038835496,	1697038835549,	undefined,	undefined,	26,	28,	51,	53,	1697038835560,	11,	90,	39
WORKER-1:	1697038834864,	1697038835048,	1697038835102,	undefined,	undefined,	184,	187,	51,	54,	1697038835132,	30,	268,	217
MASTER-0:	1697038835561,	1697038835586,	1697038835639,	undefined,	undefined,	25,	28,	50,	53,	1697038835651,	12,	90,	40
WORKER-1:	1697038835132,	1697038835162,	1697038835216,	undefined,	undefined,	30,	34,	50,	54,	1697038835230,	14,	98,	48
MASTER-0:	1697038835651,	1697038835678,	1697038835731,	undefined,	undefined,	27,	30,	50,	53,	1697038835742,	11,	91,	41
WORKER-1:	1697038835230,	1697038835257,	1697038835311,	undefined,	undefined,	27,	31,	50,	54,	1697038835324,	13,	94,	44
MASTER-0:	1697038835742,	1697038835767,	1697038835820,	undefined,	undefined,	25,	28,	50,	53,	1697038835831,	11,	89,	39
WORKER-1:	1697038835324,	1697038835350,	1697038835404,	undefined,	undefined,	26,	30,	50,	54,	1697038835416,	12,	92,	42
MASTER-0:	1697038835831,	1697038835857,	1697038835910,	undefined,	undefined,	26,	28,	51,	53,	1697038835921,	11,	90,	39
WORKER-1:	1697038835416,	1697038835442,	1697038835496,	undefined,	undefined,	26,	29,	51,	54,	1697038835508,	12,	92,	41
MASTER-0:	1697038835921,	1697038835946,	1697038836000,	undefined,	undefined,	25,	28,	51,	54,	1697038836011,	11,	90,	39
WORKER-1:	1697038835508,	1697038835533,	1697038835586,	undefined,	undefined,	25,	27,	51,	53,	1697038835597,	11,	89,	38
MASTER-0:	1697038836011,	1697038836038,	1697038836093,	undefined,	undefined,	27,	32,	50,	55,	1697038836104,	11,	93,	43
WORKER-1:	1697038835598,	1697038835623,	1697038835676,	undefined,	undefined,	25,	27,	51,	53,	1697038835688,	12,	90,	39
MASTER-0:	1697038836104,	1697038836129,	1697038836183,	undefined,	undefined,	25,	29,	50,	54,	1697038836195,	12,	91,	41
WORKER-1:	1697038835688,	1697038835713,	1697038835767,	undefined,	undefined,	25,	29,	50,	54,	1697038835778,	11,	90,	40
MASTER-0:	1697038836195,	1697038836220,	1697038836275,	undefined,	undefined,	25,	30,	50,	55,	1697038836285,	10,	90,	40
WORKER-1:	1697038835778,	1697038835803,	1697038835857,	undefined,	undefined,	25,	29,	50,	54,	1697038835868,	11,	90,	40
MASTER-0:	1697038836285,	1697038836310,	1697038836365,	undefined,	undefined,	25,	30,	50,	55,	1697038836375,	10,	90,	40
WORKER-1:	1697038835868,	1697038835893,	1697038835947,	undefined,	undefined,	25,	29,	50,	54,	1697038835958,	11,	90,	40
MASTER-0:	1697038836375,	1697038836400,	1697038836454,	undefined,	undefined,	25,	28,	51,	54,	1697038836465,	11,	90,	39
WORKER-1:	1697038835958,	1697038835983,	1697038836037,	undefined,	undefined,	25,	28,	51,	54,	1697038836048,	11,	90,	39
MASTER-0:	1697038836465,	1697038836489,	1697038836544,	undefined,	undefined,	24,	29,	50,	55,	1697038836554,	10,	89,	39
