MASTER-0:	Parameter Configuration:
MASTER-0:	activity = action
MASTER-0:	blocking = result
MASTER-0:	delta = 0
MASTER-0:	iterations = 1000
MASTER-0:	period = undefined
MASTER-0:	ratio = 1
MASTER-0:	parameter_size = 1000
MASTER-0:	workers = 4
MASTER-0:	master_activity = undefined
MASTER-0:	master_blocking = undefined
MASTER-0:	master_delta = undefined
MASTER-0:	warmup = 0
MASTER-0:	delay = 50
MASTER-0:	pp_delay = 20000
MASTER-0:	burst_timing = undefined
MASTER-0:	setup = true
MASTER-0:	teardown = true
MASTER-0:	config_file = /home/max/.wskprops
MASTER-0:	event_trigger = testTrigger
MASTER-0:	test_action = testAction
MASTER-0:	payload_file = undefined
MASTER-0:	quiet = undefined
MASTER-0:	master_apart = undefined
MASTER-0:	-----

MASTER-0:	Generating invocation parameters
MASTER-0:	Parameters: {
    "sleep": 50,
    "message": "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
}
MASTER-0:	Loading wskprops
MASTER-0:	APIHOST = https://192.168.5.13
MASTER-0:	AUTH = 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP
MASTER-0:	-----

MASTER-0:	SETUP: ./setup.sh s 1 testTrigger testAction --apihost https://192.168.5.13 --auth 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP -i
MASTER-0:	Start measurement.
WORKER-1:	Start measurement.
WORKER-2:	Start measurement.
WORKER-3:	Start measurement.
MASTER-0:	Stop measurement. Start post-processing after 20000 msec
MASTER-0:	bi,	as,	ae,	ts,	ta,	oea,	oer,	d,	ad,	ai,	ora,	rtt,	ortt
WORKER-1:	1697038973139,	1697038973303,	1697038973356,	undefined,	undefined,	164,	167,	50,	53,	1697038973385,	29,	246,	196
WORKER-1:	1697038973385,	1697038973410,	1697038973464,	undefined,	undefined,	25,	29,	50,	54,	1697038973477,	13,	92,	42
WORKER-1:	1697038973477,	1697038973504,	1697038973557,	undefined,	undefined,	27,	30,	50,	53,	1697038973569,	12,	92,	42
MASTER-0:	1697038973066,	1697038973294,	1697038973348,	undefined,	undefined,	228,	232,	50,	54,	1697038973376,	28,	310,	260
WORKER-1:	1697038973570,	1697038973594,	1697038973647,	undefined,	undefined,	24,	26,	51,	53,	1697038973660,	13,	90,	39
MASTER-0:	1697038973376,	1697038973402,	1697038973455,	undefined,	undefined,	26,	29,	50,	53,	1697038973468,	13,	92,	42
WORKER-3:	1697038973151,	1697038973353,	1697038973406,	undefined,	undefined,	202,	205,	50,	53,	1697038973435,	29,	284,	234
WORKER-1:	1697038973661,	1697038973684,	1697038973738,	undefined,	undefined,	23,	27,	50,	54,	1697038973752,	14,	91,	41
WORKER-2:	1697038973147,	1697038973312,	1697038973366,	undefined,	undefined,	165,	168,	51,	54,	1697038973396,	30,	249,	198
MASTER-0:	1697038973468,	1697038973494,	1697038973549,	undefined,	undefined,	26,	31,	50,	55,	1697038973561,	12,	93,	43
WORKER-3:	1697038973435,	1697038973465,	1697038973518,	undefined,	undefined,	30,	32,	51,	53,	1697038973531,	13,	96,	45
WORKER-1:	1697038973752,	1697038973777,	1697038973830,	undefined,	undefined,	25,	27,	51,	53,	1697038973843,	13,	91,	40
WORKER-2:	1697038973396,	1697038973420,	1697038973474,	undefined,	undefined,	24,	28,	50,	54,	1697038973487,	13,	91,	41
MASTER-0:	1697038973561,	1697038973590,	1697038973644,	undefined,	undefined,	29,	33,	50,	54,	1697038973656,	12,	95,	45
WORKER-3:	1697038973531,	1697038973558,	1697038973611,	undefined,	undefined,	27,	29,	51,	53,	1697038973623,	12,	92,	41
WORKER-1:	1697038973843,	1697038973867,	1697038973920,	undefined,	undefined,	24,	27,	50,	53,	1697038973932,	12,	89,	39
WORKER-2:	1697038973487,	1697038973522,	1697038973575,	undefined,	undefined,	35,	37,	51,	53,	1697038973597,	22,	110,	59
MASTER-0:	1697038973656,	1697038973682,	1697038973735,	undefined,	undefined,	26,	28,	51,	53,	1697038973747,	12,	91,	40
WORKER-3:	1697038973623,	1697038973648,	1697038973701,	undefined,	undefined,	25,	27,	51,	53,	1697038973713,	12,	90,	39
WORKER-1:	1697038973932,	1697038973957,	1697038974010,	undefined,	undefined,	25,	28,	50,	53,	1697038974021,	11,	89,	39
WORKER-2:	1697038973597,	1697038973622,	1697038973675,	undefined,	undefined,	25,	28,	50,	53,	1697038973687,	12,	90,	40
MASTER-0:	1697038973747,	1697038973774,	1697038973827,	undefined,	undefined,	27,	29,	51,	53,	1697038973839,	12,	92,	41
WORKER-3:	1697038973713,	1697038973739,	1697038973792,	undefined,	undefined,	26,	29,	50,	53,	1697038973804,	12,	91,	41
WORKER-1:	1697038974021,	1697038974049,	1697038974102,	undefined,	undefined,	28,	31,	50,	53,	1697038974113,	11,	92,	42
WORKER-2:	1697038973687,	1697038973713,	1697038973766,	undefined,	undefined,	26,	28,	51,	53,	1697038973778,	12,	91,	40
MASTER-0:	1697038973839,	1697038973865,	1697038973918,	undefined,	undefined,	26,	28,	51,	53,	1697038973930,	12,	91,	40
WORKER-3:	1697038973804,	1697038973831,	1697038973884,	undefined,	undefined,	27,	30,	50,	53,	1697038973896,	12,	92,	42
WORKER-1:	1697038974113,	1697038974138,	1697038974190,	undefined,	undefined,	25,	28,	49,	52,	1697038974201,	11,	88,	39
