MASTER-0:	Parameter Configuration:
MASTER-0:	activity = action
MASTER-0:	blocking = result
MASTER-0:	delta = 0
MASTER-0:	iterations = 1000
MASTER-0:	period = undefined
MASTER-0:	ratio = 1
MASTER-0:	parameter_size = 1000
MASTER-0:	workers = 8
MASTER-0:	master_activity = undefined
MASTER-0:	master_blocking = undefined
MASTER-0:	master_delta = undefined
MASTER-0:	warmup = 0
MASTER-0:	delay = 50
MASTER-0:	pp_delay = 20000
MASTER-0:	burst_timing = undefined
MASTER-0:	setup = true
MASTER-0:	teardown = true
MASTER-0:	config_file = /home/max/.wskprops
MASTER-0:	event_trigger = testTrigger
MASTER-0:	test_action = testAction
MASTER-0:	payload_file = undefined
MASTER-0:	quiet = undefined
MASTER-0:	master_apart = undefined
MASTER-0:	-----

MASTER-0:	Generating invocation parameters
MASTER-0:	Parameters: {
    "sleep": 50,
    "message": "AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA"
}
MASTER-0:	Loading wskprops
MASTER-0:	APIHOST = https://192.168.5.13
MASTER-0:	AUTH = 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP
MASTER-0:	-----

MASTER-0:	SETUP: ./setup.sh s 1 testTrigger testAction --apihost https://192.168.5.13 --auth 23bc46b1-71f6-4ed5-8c54-816aa4f8c502:123zO3xZCLrMN6v2BKK1dXYFpXlPkccOFqm12CdAsMgRU4VrNZ9lyGVCGuMDGIwP -i
MASTER-0:	Start measurement.
WORKER-1:	Start measurement.
WORKER-2:	Start measurement.
WORKER-3:	Start measurement.
WORKER-4:	Start measurement.
WORKER-6:	Start measurement.
WORKER-5:	Start measurement.
WORKER-7:	Start measurement.
MASTER-0:	Stop measurement. Start post-processing after 20000 msec
MASTER-0:	bi,	as,	ae,	ts,	ta,	oea,	oer,	d,	ad,	ai,	ora,	rtt,	ortt
WORKER-6:	1697039111183,	1697039111402,	1697039111456,	undefined,	undefined,	219,	223,	50,	54,	1697039111483,	27,	300,	250
WORKER-6:	1697039111483,	1697039111558,	1697039111620,	undefined,	undefined,	75,	88,	49,	62,	1697039111633,	13,	150,	101
WORKER-6:	1697039111633,	1697039111743,	1697039111796,	undefined,	undefined,	110,	113,	50,	53,	1697039111809,	13,	176,	126
WORKER-6:	1697039111809,	1697039111869,	1697039111922,	undefined,	undefined,	60,	63,	50,	53,	1697039111934,	12,	125,	75
WORKER-3:	1697039111174,	1697039111385,	1697039111438,	undefined,	undefined,	211,	213,	51,	53,	1697039111467,	29,	293,	242
WORKER-6:	1697039111934,	1697039112038,	1697039112091,	undefined,	undefined,	104,	106,	51,	53,	1697039112104,	13,	170,	119
WORKER-3:	1697039111467,	1697039111516,	1697039111569,	undefined,	undefined,	49,	52,	50,	53,	1697039111582,	13,	115,	65
WORKER-6:	1697039112105,	1697039112211,	1697039112263,	undefined,	undefined,	106,	108,	50,	52,	1697039112275,	12,	170,	120
WORKER-3:	1697039111582,	1697039111681,	1697039111743,	undefined,	undefined,	99,	111,	50,	62,	1697039111756,	13,	174,	124
WORKER-6:	1697039112275,	1697039112348,	1697039112404,	undefined,	undefined,	73,	79,	50,	56,	1697039112416,	12,	141,	91
WORKER-3:	1697039111756,	1697039111860,	1697039111913,	undefined,	undefined,	104,	107,	50,	53,	1697039111925,	12,	169,	119
WORKER-6:	1697039112416,	1697039112503,	1697039112556,	undefined,	undefined,	87,	89,	51,	53,	1697039112568,	12,	152,	101
WORKER-3:	1697039111925,	1697039111987,	1697039112040,	undefined,	undefined,	62,	65,	50,	53,	1697039112052,	12,	127,	77
WORKER-6:	1697039112568,	1697039112676,	1697039112732,	undefined,	undefined,	108,	113,	51,	56,	1697039112744,	12,	176,	125
WORKER-3:	1697039112052,	1697039112154,	1697039112207,	undefined,	undefined,	102,	105,	50,	53,	1697039112221,	14,	169,	119
WORKER-6:	1697039112744,	1697039112861,	1697039112914,	undefined,	undefined,	117,	120,	50,	53,	1697039112925,	11,	181,	131
WORKER-3:	1697039112221,	1697039112327,	1697039112380,	undefined,	undefined,	106,	109,	50,	53,	1697039112391,	11,	170,	120
WORKER-7:	1697039111192,	1697039111444,	1697039111497,	undefined,	undefined,	252,	255,	50,	53,	1697039111525,	28,	333,	283
WORKER-6:	1697039112925,	1697039112993,	1697039113045,	undefined,	undefined,	68,	71,	49,	52,	1697039113056,	11,	131,	82
WORKER-3:	1697039112392,	1697039112468,	1697039112521,	undefined,	undefined,	76,	79,	50,	53,	1697039112533,	12,	141,	91
WORKER-6:	1697039113056,	1697039113152,	1697039113205,	undefined,	undefined,	96,	99,	50,	53,	1697039113217,	12,	161,	111
WORKER-7:	1697039111525,	1697039111614,	1697039111667,	undefined,	undefined,	89,	91,	51,	53,	1697039111680,	13,	155,	104
WORKER-3:	1697039112533,	1697039112618,	1697039112671,	undefined,	undefined,	85,	87,	51,	53,	1697039112682,	11,	149,	98
WORKER-6:	1697039113217,	1697039113326,	1697039113379,	undefined,	undefined,	109,	112,	50,	53,	1697039113390,	11,	173,	123
WORKER-7:	1697039111681,	1697039111749,	1697039111804,	undefined,	undefined,	68,	73,	50,	55,	1697039111818,	14,	137,	87
WORKER-4:	1697039111179,	1697039111387,	1697039111440,	undefined,	undefined,	208,	211,	50,	53,	1697039111470,	30,	291,	241
WORKER-3:	1697039112682,	1697039112759,	1697039112813,	undefined,	undefined,	77,	81,	50,	54,	1697039112824,	11,	142,	92
WORKER-6:	1697039113390,	1697039113468,	1697039113521,	undefined,	undefined,	78,	80,	51,	53,	1697039113531,	10,	141,	90
WORKER-7:	1697039111818,	1697039111921,	1697039111973,	undefined,	undefined,	103,	105,	50,	52,	1697039111986,	13,	168,	118
